refnr,feld,mein_gold,chatgpt,claude,chatgpt_match,claude_match
16724-0062809539-S,homeoffice,ja,nicht_genannt,nicht_genannt,False,False
16724-0062809539-S,skills_top3,Power BI|MS Office|Jedox,Jedox|Power BI|Data Warehouse,Power BI|Jedox|Data Warehouse,False,False
18896-8565435-S,homeoffice,teilweise,nicht_genannt,nicht_genannt,False,False
18896-8565435-S,skills_top3,Power BI|SQL|OLAP,PowerBI|SQL|OLAP-Datenbanken,Power BI|SQL|OLAP,False,True
11949-17196786-S,erfahrungslevel,mid,mid,senior,True,False
11949-17196786-S,gehalt_min_eur,55000.0,,,False,False
11949-17196786-S,gehalt_zeitraum,Jahr,,,False,False
11949-17196786-S,skills_top3,Python|Maschin_Learning|Datenmodellierung,Machine Learning|Python|statistische Modellierung,Python|Machine Learning,False,False
11949-17215590-S,erfahrungslevel,nicht_genannt,junior,nicht_genannt,False,True
11949-17215590-S,gehalt_zeitraum,Monat,monat,monat,False,False
11949-17215590-S,skills_top3,nicht_genannt,DSGVO|ISMS|NIS-2,DSGVO|ISMS|NIS-2,False,False
11949-17214039-S,gehalt_zeitraum,Jahr,jahr,jahr,False,False
10000-1203863577-S,skills_top3,nicht_genannt,,,False,False
13151-1570027-1-S,homeoffice,teilweise,teilweise,nicht_genannt,True,False
13151-1570027-1-S,erfahrungslevel,mid,junior,junior,False,False
13151-1570027-1-S,skills_top3,SQL|BI,SQL,SQL,False,False
13151-1568687-1-S,erfahrungslevel,mid,mid,junior,True,False
13644-307612-S,erfahrungslevel,mid,mid,nicht_genannt,True,False
13644-307612-S,skills_top3,SAS|SQL,SAS|SQL|Cognos,SAS|SQL|Cognos,False,False
12265-489382_JB5131539-S,erfahrungslevel,mid,mid,nicht_genannt,True,False
12265-489382_JB5131539-S,skills_top3,nicht_genannt,SQL|ETL|Power BI,,False,False
14036-0005680f46a001-S,erfahrungslevel,mid,mid,nicht_genannt,True,False
14036-0005680f46a001-S,skills_top3,MS-Office|SAPBW|SAPBO,,,False,False
14225-2aaa34ba5c393d2a-S,homeoffice,teilweise,nein,nicht_genannt,False,False
14225-2aaa34ba5c393d2a-S,erfahrungslevel,nicht_genannt,mid,nicht_genannt,False,True
14225-2aaa34ba5c393d2a-S,skills_top3,nicht_genannt,Markov Decision Processes|Q-Learning|Value Functions,,False,False
