refnr,feld,chatgpt,claude
16724-0062809539-S,skills_top3,Jedox|Power BI|Data Warehouse,Power BI|Jedox|Data Warehouse
18896-8565435-S,skills_top3,PowerBI|SQL|OLAP-Datenbanken,Power BI|SQL|OLAP
11949-17196786-S,erfahrungslevel,mid,senior
11949-17196786-S,skills_top3,Machine Learning|Python|statistische Modellierung,Python|Machine Learning
11949-17215590-S,erfahrungslevel,junior,nicht_genannt
13151-1570027-1-S,homeoffice,teilweise,nicht_genannt
13151-1568687-1-S,erfahrungslevel,mid,junior
13644-307612-S,erfahrungslevel,mid,nicht_genannt
12265-489382_JB5131539-S,erfahrungslevel,mid,nicht_genannt
12265-489382_JB5131539-S,skills_top3,SQL|ETL|Power BI,
14036-0005680f46a001-S,erfahrungslevel,mid,nicht_genannt
14225-2aaa34ba5c393d2a-S,homeoffice,nein,nicht_genannt
14225-2aaa34ba5c393d2a-S,erfahrungslevel,mid,nicht_genannt
14225-2aaa34ba5c393d2a-S,skills_top3,Markov Decision Processes|Q-Learning|Value Functions,
