modell,refnr,feld,ich,frontier
chatgpt,16724-0062809539-S,homeoffice,ja,nicht_genannt
chatgpt,18896-8565435-S,homeoffice,teilweise,nicht_genannt
chatgpt,14225-2aaa34ba5c393d2a-S,homeoffice,teilweise,nein
chatgpt,11949-17215590-S,erfahrungslevel,nicht_genannt,junior
chatgpt,13151-1570027-1-S,erfahrungslevel,mid,junior
chatgpt,14225-2aaa34ba5c393d2a-S,erfahrungslevel,nicht_genannt,mid
claude,16724-0062809539-S,homeoffice,ja,nicht_genannt
claude,18896-8565435-S,homeoffice,teilweise,nicht_genannt
claude,13151-1570027-1-S,homeoffice,teilweise,nicht_genannt
claude,14225-2aaa34ba5c393d2a-S,homeoffice,teilweise,nicht_genannt
claude,11949-17196786-S,erfahrungslevel,mid,senior
claude,13151-1570027-1-S,erfahrungslevel,mid,junior
claude,13151-1568687-1-S,erfahrungslevel,mid,junior
claude,13644-307612-S,erfahrungslevel,mid,nicht_genannt
claude,12265-489382_JB5131539-S,erfahrungslevel,mid,nicht_genannt
claude,14036-0005680f46a001-S,erfahrungslevel,mid,nicht_genannt
