id,homeoffice,vertragsart,erfahrungslevel,gehalt_min_eur,gehalt_zeitraum,skills_top3,notiz
16724-0062809539-S,nicht_genannt,festanstellung,mid,,,Jedox|Power BI|Data Warehouse,
18896-8565435-S,nicht_genannt,festanstellung,mid,,,PowerBI|SQL|OLAP-Datenbanken,
11949-17196786-S,teilweise,festanstellung,mid,,,Machine Learning|Python|statistische Modellierung,
11949-17215590-S,nicht_genannt,festanstellung,junior,3100,monat,DSGVO|ISMS|NIS-2,
11949-17214039-S,teilweise,festanstellung,senior,46200,jahr,PenTesting|IAM|Netzwerksicherheit,
10000-1203863577-S,nicht_genannt,ausbildung,junior,,,,
13151-1570027-1-S,teilweise,praktikum,junior,,,SQL,
13151-1568687-1-S,teilweise,werkstudent,mid,,,SQL,
13644-307612-S,teilweise,festanstellung,mid,,,SAS|SQL|Cognos,
12265-489382_JB5131539-S,teilweise,festanstellung,mid,,,SQL|ETL|Power BI,
14036-0005680f46a001-S,teilweise,festanstellung,mid,,,,
14225-2aaa34ba5c393d2a-S,nein,sonstiges,mid,,,Markov Decision Processes|Q-Learning|Value Functions,
