id,homeoffice,vertragsart,erfahrungslevel,gehalt_min_eur,gehalt_zeitraum,skills_top3,notiz
16724-0062809539-S,ja,festanstellung,mid,,,Power BI|Excel,
18896-8565435-S,nicht_genannt,festanstellung,mid,,,Power BI|SQL,
11949-17196786-S,ja,festanstellung,mid,,,Machine Learning|Python,
11949-17215590-S,nicht_genannt,festanstellung,mid,,,,
11949-17214039-S,ja,festanstellung,senior,,,,
10000-1203863577-S,nicht_genannt,ausbildung,junior,,,,
13151-1570027-1-S,nicht_genannt,praktikum,mid,,,SQL,Erfahrungslevel bei Nicht-Vollzeit-Stelle unklar
13151-1568687-1-S,nicht_genannt,werkstudent,mid,,,SQL,Erfahrungslevel bei Nicht-Vollzeit-Stelle unklar
13644-307612-S,teilweise,festanstellung,mid,,,SQL,
12265-489382_JB5131539-S,nicht_genannt,festanstellung,mid,,,,
14036-0005680f46a001-S,teilweise,festanstellung,mid,,,SAP,
14225-2aaa34ba5c393d2a-S,nicht_genannt,festanstellung,nicht_genannt,,,,
